               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075963,            0.036973,            0.057044,             0.37246,             0.26705,             0.26198,             0.13401,            0.051512,            0.019075,             0.03625,            0.070075,            0.003325,            0.003325
                   1,            0.053457,            0.032355,             0.03299,             0.48388,             0.49533,              0.4591,             0.24682,            0.048534,            0.018724,            0.022933,            0.039855,           0.0064386,           0.0064386
                   2,            0.051989,            0.032092,            0.025868,             0.49081,             0.48738,             0.45044,             0.22999,            0.048836,            0.020589,            0.021027,           0.0094155,           0.0093322,           0.0093322
                   3,             0.04989,             0.03369,            0.025375,              0.4836,             0.41438,             0.41356,             0.21572,             0.04751,            0.022043,            0.022628,             0.00901,             0.00901,             0.00901
                   4,            0.048348,            0.034968,            0.025394,             0.48174,             0.39516,             0.39438,             0.19843,            0.048476,            0.022355,            0.021939,             0.00901,             0.00901,             0.00901
                   5,             0.04726,            0.034186,            0.024948,             0.53908,             0.42529,             0.42723,             0.22605,            0.046694,            0.022073,             0.02232,             0.00868,             0.00868,             0.00868
                   6,            0.045821,            0.034343,            0.023212,             0.51613,             0.42206,             0.42712,             0.20439,             0.04576,            0.022139,            0.020178,             0.00835,             0.00835,             0.00835
                   7,            0.044343,             0.03434,            0.021664,             0.51417,             0.45225,             0.44296,              0.2414,            0.044835,            0.021985,            0.020911,             0.00802,             0.00802,             0.00802
                   8,            0.043863,            0.033098,            0.021518,             0.48633,             0.45782,             0.44431,             0.24268,            0.044447,            0.021922,            0.018887,             0.00769,             0.00769,             0.00769
                   9,            0.043468,            0.033315,            0.019844,               0.534,             0.45529,             0.46163,             0.24385,            0.043804,             0.02221,            0.019308,             0.00736,             0.00736,             0.00736
                  10,            0.042758,            0.033133,            0.018489,             0.55869,             0.48119,             0.49815,             0.27307,            0.042599,             0.02171,            0.017751,             0.00703,             0.00703,             0.00703
                  11,            0.041849,            0.033232,            0.017436,             0.59075,             0.47238,             0.49529,             0.27422,            0.042828,            0.021821,            0.017515,              0.0067,              0.0067,              0.0067
                  12,            0.041217,            0.033088,            0.016447,             0.56341,             0.51098,             0.51668,             0.28936,            0.041868,            0.021863,            0.015661,             0.00637,             0.00637,             0.00637
                  13,            0.040422,            0.031758,            0.016243,             0.58817,             0.48198,             0.48881,             0.27653,            0.042406,            0.022279,             0.01774,             0.00604,             0.00604,             0.00604
                  14,            0.039756,             0.03211,            0.015401,              0.5804,             0.50538,             0.52973,              0.3073,            0.040673,            0.021556,            0.017618,             0.00571,             0.00571,             0.00571
                  15,            0.038954,            0.032099,            0.014123,             0.58874,             0.51922,             0.53492,             0.30706,             0.04058,            0.021305,            0.016902,             0.00538,             0.00538,             0.00538
                  16,            0.038016,            0.031119,            0.013766,             0.57227,             0.52763,             0.54756,             0.32388,            0.039952,             0.02157,            0.016521,             0.00505,             0.00505,             0.00505
                  17,            0.037599,            0.030988,            0.012675,             0.60489,             0.51528,             0.53385,             0.31942,             0.03995,            0.021846,            0.015689,             0.00472,             0.00472,             0.00472
                  18,            0.036666,            0.029889,            0.012607,             0.60048,             0.52178,             0.55223,             0.32595,            0.039675,            0.021808,            0.015539,             0.00439,             0.00439,             0.00439
                  19,            0.036244,            0.029849,            0.011938,             0.63204,             0.54471,             0.56976,             0.34586,            0.038729,            0.021477,            0.015278,             0.00406,             0.00406,             0.00406
                  20,            0.035498,            0.028951,            0.011103,             0.63931,              0.5463,             0.58081,             0.35413,            0.038458,             0.02163,             0.01413,             0.00373,             0.00373,             0.00373
                  21,            0.034798,            0.028922,             0.01068,             0.62947,               0.547,             0.58201,             0.35076,            0.038253,            0.021543,            0.013977,              0.0034,              0.0034,              0.0034
                  22,            0.033927,            0.028594,            0.010811,             0.65099,             0.55504,             0.58695,             0.36228,            0.037758,            0.021564,            0.013748,             0.00307,             0.00307,             0.00307
                  23,            0.033613,            0.028183,           0.0099346,             0.64986,             0.56185,              0.5926,             0.36781,            0.037428,            0.021658,            0.014069,             0.00274,             0.00274,             0.00274
                  24,            0.032871,            0.027815,           0.0093286,             0.64722,             0.55531,             0.58741,             0.36813,            0.037245,            0.021638,            0.014233,             0.00241,             0.00241,             0.00241
                  25,            0.032284,            0.027315,            0.009265,             0.66059,              0.5476,             0.58427,             0.36154,            0.037386,            0.021454,            0.014088,             0.00208,             0.00208,             0.00208
                  26,            0.031577,            0.027032,           0.0087259,             0.68466,             0.53854,              0.5947,             0.37367,            0.037105,              0.0216,             0.01365,             0.00175,             0.00175,             0.00175
                  27,            0.031086,            0.026916,           0.0085126,             0.66364,             0.54643,             0.59087,             0.37321,             0.03709,             0.02184,            0.013743,             0.00142,             0.00142,             0.00142
                  28,            0.030393,            0.026724,           0.0081226,             0.61572,             0.59302,             0.59888,               0.379,            0.036703,            0.021665,            0.013992,             0.00109,             0.00109,             0.00109
                  29,            0.029769,             0.02649,           0.0076896,             0.68588,              0.5351,             0.59632,             0.37867,            0.036543,            0.021876,            0.013722,             0.00076,             0.00076,             0.00076
